name, address, phone
Fairfax Pediatric Associates,13135 Lee Jackson Memorial Hwy Fairfax VA 22033,703-391-0900
CVS Pharmacy – Shoppes Ln.,12734 Shoppes Lane Fairfax VA 22022,703-322-9557
Inova Fair Oaks Hospital,3600 Joseph Siewick Dr Fairfax VA 22033,703-391-3600
Walk-In Medical Care – Fairfax,12011 Lee Jackson Memorial Highway Fairfax VA 22033,703-385-8378
Mira Scientific,12011 Lee Jackson Memorial Hwy Fairfax VA 22033,571-378-2369
Fairfax Medical Lab,4221 Walney Rd Chantilly VA 20151,703-953-3379
CVS Pharmacy – Centerville Rd.,3919 Centerville Road Chantilly VA 22021,703-378-2337
CareNow Urgent Care – Centreville,4995 Westone Plaza Chantilly VA 20151,571-441-3980
CVS Pharmacy – 5652 Pickwick Rd.,5652 Pickwick Rd. Centreville VA 20120,571-333-5918
Walgreens – 13926 Lee Hwy.,13926 Lee Why. Centreville VA 20120,703-259-6200
ADAMS Compassionate Healthcare Network COVID-19 Testing Site,4600 Brookfield Corporate Dr Chantilly VA 20151,703-542-3366
CareMed Urgent Care,11213 Lee Highway Fairfax VA 22030,703-730-2000
CareNow Urgent Care – Chantilly,3456 Historic Sully Way Chantilly VA 20151,703-435-3838
CVS Pharmacy – 3071 Centreville Rd.,3071 Centreville Rd. Herndon VA 22071,703-787-9562
PM Pediatrics – Fairfax,11056 Lee Highway Fairfax VA 22030,703-552-5437
CVS Pharmacy – Fairfax Blvd.,11003 Fairfax Boulevard Fairfax VA 22030,571-432-5801
Inova Emergency Room – Fairfax City,4315 Chain Bridge Rd Fairfax VA 22030,703-877-8200
Patient First – Fairfax,10100 Fairfax Boulevard Fairfax VA 22030,703-679-1877
CVS Pharmacy – Fairfax Blvd.,10090 Fairfax Boulevard Fairfax VA 22030,703-273-5796
BrightStar Care Fairfax Office,10517C Braddock Rd Fairfax VA 22032,703-267-2380
The Iyer Clinic-Herndon Office,13505 Dulles Technology Drive Herndon VA 20171,703-404-5900
Kaiser Permanente- Reston Medical Center,1890 Metro Center Drive Reston VA 20190,1-800-777-7904
ARCPoint Labs of Herndon,462 Herndon Pkwy Herndon VA 20170,703-689-2721
Prosperity Internal Medicine,1801 Robert Fulton Dr. Reston VA 20191,703-876-9300
PM Pediatrics – Herndon,905 Herndon Parkway Herndon VA 20170,703-437-5437
HealthWorks – Herndon,1141 Elden Street Herndon VA 20170,703-443-2000
CVS Pharmacy – Centreville Rd.,7500 Centreville Road Manassas VA 20111,703-369-1920
Walgreens – Elden St.,603 Elden St. Herndon VA 20170,703-796-6482
Walgreens – 603 Elden St.,603 Elden St. Herndon VA 20170,703-796-6482
My Dr’s Pharmacy,412 Elden Street Herndon VA 20170,703-215-8000
ResourcePath Clinical Laboratory,45945 Trefoil Ln. Sterling VA 20166,571-375-0755
Kaiser Permanente- Burke Medical Center,5999 Burke Commons Road Burke VA 22015,703-249-7700
Walk-in Medical Care – Burke,6045 Burke Centre Parkway Burke VA 22015,703-239-0300
CareLife Medical,2826 Old Lee Highway Fairfax VA 22031,703-854-1298
South Riding Pediatrics,25055 Riding Plaza South Riding VA 20152,703-327-0075
Hann’s Pharmacy,8505 Arlington Blvd. Fairfax VA 22031,703-495-3350
CVS Pharmacy – Prosperity Ave.,3921 Prosperity Avenue Fairfax VA 22031,703-280-0237
Neighborhood Health @ Merrifield Center,8221 Willow Oaks Corporate Drive Fairfax Virginia 22031,703-237-3446
CVS Pharmacy – 24795 Pinebrook Rd.,24795 Pinebrook Rd. Chantilly VA 20152,703-542-7691
Inova Urgent Care Center – Dulles South,24801 Pinebrook Rd #110 Chantilly VA 20152,703-722-2500
Akina Pharmacy,23475 Rock Haven Way Sterling VA 20166,571-267-5050
Fairfax Urgent Care,8191 Strawberry Lane Falls Church VA 22042,703-493-0404
Inova Fairfax Hospital,3300 Gallows Road Fairfax VA 22042,703-776-4001
Mother of Mercy Free Medical Clinic,9380 FORESTWOOD LANE Manassas VA 20110,703-335-2779
Kaiser Permanente- Manassas Medical Center,10701 Rosemary Drive Manassas VA 20109,1-800-777-7904
Preston’s of Merrifield,2924 Telestar Court Falls Church VA 23220,571-341-8787
Inova Urgent Care Center – Tysons,8357 Leesburg Pike Vienna VA 22182,571-665-6440
ALTMED Medical Center,8714 Sudley Rd Manassas VA 20110,703-361-4357
Bull Run Parmacy,8724 Sudley Rd. Manassas VA 20110,571-357-4818
Walgreens – Sudley Manor Dr.,10671 Sudley Manor Dr. Manassas VA 20109,703-257-2894
Prosperity Pharmacy Manassas,8644 Sudley Rd. Manassas VA 20110,703-334-5180
CVS Pharmacy – 9200 Centreville Rd.,9200 Centreville Rd. Manassas VA 20110,703-368-9146
CVS Pharmacy – Seneca Rd.,1020 Seneca Road Great Falls VA 22066,703-444-1570
AllCare/Synergy Immediate Care,1953 Gallows Rd Vienna VA 22181,703-942-5331
Sameday Testing – Tysons,1981 Chain Bridge Rd. Mclean VA 22102,310-697-8126
Patient First Manassas Urgent Care,9715 Liberia Avenue Manassas VA 20110,(571)
